n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,8,2,1,1,1,0,0.11170111396356061,0.28263727878507383,0.3748758996479632,0.44655466079711914,0.08504438400268555
500,0.0,8,2,1,1,1,1,0.11858338316327534,0.2877675173928801,0.3698224319215334,0.5264711380004883,0.13212275505065918
500,0.0,8,2,1,1,1,2,0.11892627975793692,0.2672985527804438,0.3456410625638667,0.9294402599334717,0.11244869232177734
500,0.0,8,2,1,1,1,3,0.10821021017593184,0.2647014739752606,0.36898981493039407,0.83492112159729,0.12408709526062012
500,0.0,8,2,1,1,1,4,0.11193258303712662,0.3016084238224736,0.3701251964690928,0.6589705944061279,0.14308857917785645
500,0.0,8,2,1,1,1,5,0.11268858511305767,0.35306372065571406,0.4354530265096303,0.6750490665435791,0.11208415031433105
500,0.0,8,2,1,1,1,6,0.12315775340867559,0.27932003897535734,0.3377246644126064,0.7403254508972168,0.13739776611328125
500,0.0,8,2,1,1,1,7,0.10186800749699416,0.30351992439551867,0.38146064280191494,0.7929437160491943,0.14697003364562988
500,0.0,8,2,1,1,1,8,0.11193211846811013,0.3373428899009178,0.41504393369942233,0.7810544967651367,0.1269209384918213
500,0.0,8,2,1,1,1,9,0.11746321707824119,0.2935292743975927,0.3688769654511147,0.8157806396484375,0.10222840309143066
500,0.0,8,2,1,1,1,10,0.11050123313318728,0.2711354382457737,0.3295513047913378,0.7511577606201172,0.09649825096130371
500,0.0,8,2,1,1,1,11,0.1258461089183669,0.3067203129225409,0.3909486522075198,0.5141994953155518,0.07950806617736816
500,0.0,8,2,1,1,1,12,0.11839603832808222,0.30236575284618533,0.40697262737714535,0.4074547290802002,0.08335304260253906
500,0.0,8,2,1,1,1,13,0.1077447150486617,0.3067826938815204,0.37711426004681803,0.42075181007385254,0.08652901649475098
500,0.0,8,2,1,1,1,14,0.1007277203635357,0.294350886333544,0.3671795260209036,0.40177059173583984,0.08500790596008301
500,0.0,8,2,1,1,1,15,0.1222299335015516,0.2635005998248066,0.3529290358742948,0.39505434036254883,0.0875394344329834
500,0.0,8,2,1,1,1,16,0.11083161972567676,0.30624563222034756,0.38086049782755305,0.4221200942993164,0.08750510215759277
500,0.0,8,2,1,1,1,17,0.1312172117670735,0.2686047643915056,0.35319408479636816,0.4614286422729492,0.09453868865966797
500,0.0,8,2,1,1,1,18,0.10432493438375588,0.27032139142876155,0.35109295718089817,0.4341421127319336,0.09151458740234375
500,0.0,8,2,1,1,1,19,0.12278881648102724,0.2792093030970349,0.3645983817675131,0.41471433639526367,0.08952617645263672
500,0.0,8,2,1,1,1,20,0.11010710300216506,0.3080909113845118,0.37205965493414117,0.406313419342041,0.08563446998596191
500,0.0,8,2,1,1,1,21,0.11691649492796517,0.2720955249083296,0.3609770719433367,0.4196329116821289,0.08404231071472168
500,0.0,8,2,1,1,1,22,0.10416564024810902,0.2983816827973055,0.3904778431707311,0.43012070655822754,0.08533811569213867
500,0.0,8,2,1,1,1,23,0.11470945603014363,0.2799736813559832,0.34726193600573735,0.4275641441345215,0.09522032737731934
500,0.0,8,2,1,1,1,24,0.12198342141809827,0.29198218034973644,0.36599029352166523,0.4637436866760254,0.08400535583496094
500,0.5,8,2,1,1,1,0,0.11899546468225125,0.29946050276858055,0.38999396020894833,0.4022660255432129,0.0864107608795166
500,0.5,8,2,1,1,1,1,0.11883181277691643,0.32557853397648323,0.4307182737097332,0.3921167850494385,0.08143401145935059
500,0.5,8,2,1,1,1,2,0.12592769448758814,0.26184704110673795,0.36343045046222777,0.42255091667175293,0.0831747055053711
500,0.5,8,2,1,1,1,3,0.11289501533487253,0.2430495115380106,0.3185260154897054,0.43164515495300293,0.08280777931213379
500,0.5,8,2,1,1,1,4,0.10728374310311754,0.33726900027078677,0.3984785808054145,0.4167802333831787,0.08536362648010254
500,0.5,8,2,1,1,1,5,0.11696430006832828,0.2969386940037665,0.3782537250748929,0.47794198989868164,0.09946918487548828
500,0.5,8,2,1,1,1,6,0.10515601442916259,0.38775340219016896,0.4773210669579935,0.43497610092163086,0.1092064380645752
500,0.5,8,2,1,1,1,7,0.11948321708106238,0.28627016254952414,0.335295033124116,0.8198411464691162,0.17290854454040527
500,0.5,8,2,1,1,1,8,0.1300663393009533,0.27482674392485845,0.35942230641487505,0.6618106365203857,0.12867116928100586
500,0.5,8,2,1,1,1,9,0.13276785653732817,0.2612834141413577,0.3392302651569551,0.6362175941467285,0.14371490478515625
500,0.5,8,2,1,1,1,10,0.12850270097210675,0.28178137717043583,0.37687461999963795,0.8134355545043945,0.16830110549926758
500,0.5,8,2,1,1,1,11,0.12024503270722593,0.31668644849287564,0.3963137304002286,0.6482365131378174,0.15174508094787598
500,0.5,8,2,1,1,1,12,0.11255099550921896,0.3062735332896666,0.3789532260658417,0.6350617408752441,0.1353435516357422
500,0.5,8,2,1,1,1,13,0.10763427670511476,0.3240223441578552,0.42639297992540565,0.6539609432220459,0.15905046463012695
500,0.5,8,2,1,1,1,14,0.13189674015421565,0.2876335715231871,0.36339080965515214,0.643721342086792,0.1356363296508789
500,0.5,8,2,1,1,1,15,0.15552953956846796,0.2843706251824833,0.35826994694271763,0.7389132976531982,0.1564466953277588
500,0.5,8,2,1,1,1,16,0.11313134683807674,0.2701526778988845,0.3443802048351962,0.6340878009796143,0.13765239715576172
500,0.5,8,2,1,1,1,17,0.11374214758968576,0.2808464644089679,0.3804278942674409,0.5998685359954834,0.13568735122680664
500,0.5,8,2,1,1,1,18,0.16209454075799967,0.29269462802541046,0.4061145326348056,0.6732885837554932,0.14423894882202148
500,0.5,8,2,1,1,1,19,0.13118543552390136,0.3363221757057129,0.4172138710661744,0.6337747573852539,0.13331937789916992
500,0.5,8,2,1,1,1,20,0.11825096613238781,0.2959704313229355,0.3644984472050279,0.7940733432769775,0.16313791275024414
500,0.5,8,2,1,1,1,21,0.11036069925457195,0.2711297358576791,0.3800473998189601,0.5991923809051514,0.13535428047180176
500,0.5,8,2,1,1,1,22,0.11073485499422084,0.2819878581212039,0.3689910372486123,0.6165440082550049,0.15501928329467773
500,0.5,8,2,1,1,1,23,0.12172179659891486,0.2729432293062473,0.35009351418898144,0.6715888977050781,0.1441500186920166
500,0.5,8,2,1,1,1,24,0.11077246616131625,0.34740570951150845,0.4082596177544008,0.678584098815918,0.14853596687316895
500,1.0,8,2,1,1,1,0,0.1281990709079039,0.30373773718216557,0.42759954745318784,0.8486642837524414,0.21169042587280273
500,1.0,8,2,1,1,1,1,0.14962851098586274,0.2995208477804273,0.392942988257576,0.6281039714813232,0.11591053009033203
500,1.0,8,2,1,1,1,2,0.11455863804628476,0.2890274657560427,0.3604627577018501,0.6017961502075195,0.12411189079284668
500,1.0,8,2,1,1,1,3,0.12975225159736636,0.28253909093357665,0.3656214456091741,0.6204066276550293,0.1482853889465332
500,1.0,8,2,1,1,1,4,0.1182596909550053,0.2978257513810966,0.4120306231867965,0.8019115924835205,0.17177581787109375
500,1.0,8,2,1,1,1,5,0.15006161469321966,0.3431979087909071,0.44040882997907443,0.6362249851226807,0.1405797004699707
500,1.0,8,2,1,1,1,6,0.12389995019422505,0.3278477843902995,0.4030924229963374,0.6155562400817871,0.1301724910736084
500,1.0,8,2,1,1,1,7,0.11696762423896034,0.3172673025027198,0.41109754697458745,0.5998940467834473,0.15108966827392578
500,1.0,8,2,1,1,1,8,0.12718682592239666,0.2990399207725126,0.3478517629443416,0.6311531066894531,0.14755964279174805
500,1.0,8,2,1,1,1,9,0.12360060976875718,0.4054281703361039,0.5188744003111628,0.6858179569244385,0.17928361892700195
500,1.0,8,2,1,1,1,10,0.11160931933863048,0.3958146226077745,0.48303647018798884,0.6315858364105225,0.13202810287475586
500,1.0,8,2,1,1,1,11,0.12069104905108897,0.2880542847736946,0.38028301349493865,0.5931167602539062,0.11666345596313477
500,1.0,8,2,1,1,1,12,0.15012034524437493,0.3278198163743425,0.41003410657408645,0.6042232513427734,0.1430659294128418
500,1.0,8,2,1,1,1,13,0.1258183319668817,0.2891990952654727,0.3857971936828597,0.6694602966308594,0.15000534057617188
500,1.0,8,2,1,1,1,14,0.11156831777877863,0.36044405314531486,0.45139407983814483,0.7965857982635498,0.17192673683166504
500,1.0,8,2,1,1,1,15,0.12684509679167857,0.3469498633061018,0.4619177309939263,0.6179625988006592,0.12148165702819824
500,1.0,8,2,1,1,1,16,0.13262489297664942,0.2700854464984963,0.3646680760146582,0.6029024124145508,0.13832926750183105
500,1.0,8,2,1,1,1,17,0.13662841720028537,0.2868492471095673,0.3617208509362455,0.7586994171142578,0.1736905574798584
500,1.0,8,2,1,1,1,18,0.12467951527631921,0.29395855837835905,0.37604773573332284,0.7975015640258789,0.1675701141357422
500,1.0,8,2,1,1,1,19,0.12728708209430992,0.29050192655868357,0.3658088420381928,0.5986020565032959,0.14930486679077148
500,1.0,8,2,1,1,1,20,0.12646352449002496,0.27234319413072244,0.3521258507412553,0.6522817611694336,0.12757587432861328
500,1.0,8,2,1,1,1,21,0.13958741873684363,0.3490050262737966,0.43241808113989916,0.6245319843292236,0.12195444107055664
500,1.0,8,2,1,1,1,22,0.11065358176142372,0.31902281026082363,0.41305516496881567,0.6020967960357666,0.14260101318359375
500,1.0,8,2,1,1,1,23,0.11851442163301487,0.28828109110685013,0.38977738901468817,0.8098444938659668,0.1627516746520996
500,1.0,8,2,1,1,1,24,0.12535377242124465,0.305644932535152,0.3693867268705396,0.6104655265808105,0.14106202125549316
500,1.5,8,2,1,1,1,0,0.12891657505960674,0.35808009232945676,0.4509213772184901,0.6390438079833984,0.1338961124420166
500,1.5,8,2,1,1,1,1,0.1480580740963923,0.2696754043016264,0.37931860385947364,0.6602411270141602,0.14062738418579102
500,1.5,8,2,1,1,1,2,0.13112408194096198,0.2989509983040875,0.3971421215589135,0.6328160762786865,0.13605475425720215
500,1.5,8,2,1,1,1,3,0.12490594882242241,0.297063155399473,0.38777871123344465,0.7137680053710938,0.1326127052307129
500,1.5,8,2,1,1,1,4,0.14226409070760387,0.292001411062038,0.3942850934960858,0.6152639389038086,0.14183497428894043
500,1.5,8,2,1,1,1,5,0.13392100019826902,0.2717784082955304,0.34233059073118166,0.6229405403137207,0.13553309440612793
500,1.5,8,2,1,1,1,6,0.13824890372165932,0.2879606319272385,0.3661337612157838,0.63480544090271,0.15597963333129883
500,1.5,8,2,1,1,1,7,0.14099001332081365,0.3180211952866723,0.3942132461929233,0.6131212711334229,0.15358877182006836
500,1.5,8,2,1,1,1,8,0.14641071521827298,0.2983451469998956,0.4092517236959976,0.7950365543365479,0.16818714141845703
500,1.5,8,2,1,1,1,9,0.13893711381856086,0.3355549184265978,0.4001507605344017,0.6488587856292725,0.12716245651245117
500,1.5,8,2,1,1,1,10,0.13848124120316643,0.26502592161881955,0.3880195156038164,0.7898824214935303,0.1860034465789795
500,1.5,8,2,1,1,1,11,0.15906384482270147,0.27168587986375237,0.39116082069738156,0.6689317226409912,0.13231420516967773
500,1.5,8,2,1,1,1,12,0.13358370575178455,0.32458978897624674,0.40657442888611506,0.85093092918396,0.1856250762939453
500,1.5,8,2,1,1,1,13,0.13937965883732548,0.29021519944648805,0.37556781677501033,0.7671151161193848,0.16603994369506836
500,1.5,8,2,1,1,1,14,0.13395168121668746,0.31071914195091616,0.41251703593650335,0.7001495361328125,0.1153862476348877
500,1.5,8,2,1,1,1,15,0.14323235271396967,0.3057084680367871,0.3822336185488121,0.7801868915557861,0.16135001182556152
500,1.5,8,2,1,1,1,16,0.14762180429778676,0.28864295249152566,0.41158553217527793,0.8697731494903564,0.18879032135009766
500,1.5,8,2,1,1,1,17,0.13066879310810095,0.2657710844285309,0.34388790036960243,0.823667049407959,0.14625310897827148
500,1.5,8,2,1,1,1,18,0.14917876311912343,0.35428044506303824,0.4634277394575245,0.766643762588501,0.1286153793334961
500,1.5,8,2,1,1,1,19,0.145513666887371,0.2888299418323128,0.3719690243415307,0.7312657833099365,0.18549585342407227
500,1.5,8,2,1,1,1,20,0.12692781474374523,0.32107489958945135,0.4089583906093654,0.8665108680725098,0.19658493995666504
500,1.5,8,2,1,1,1,21,0.1361357987109685,0.30330278957508633,0.3825496597920689,0.8062355518341064,0.1515355110168457
500,1.5,8,2,1,1,1,22,0.12789098714244784,0.34369258874422615,0.43297939248369666,0.7313113212585449,0.16028594970703125
500,1.5,8,2,1,1,1,23,0.14518496979772114,0.2841223402353569,0.39728357619471383,0.8146297931671143,0.14934587478637695
500,1.5,8,2,1,1,1,24,0.14006628543132704,0.3181230133048522,0.44642111730760836,1.0054190158843994,0.19093990325927734
500,2.0,8,2,1,1,1,0,0.1561440607719824,0.34181206048762713,0.44608720240291805,0.8880045413970947,0.1393284797668457
500,2.0,8,2,1,1,1,1,0.16892100623961162,0.2607427680952245,0.39383991070676194,0.7509171962738037,0.14617538452148438
500,2.0,8,2,1,1,1,2,0.1401205943172514,0.2659318462226327,0.38211409746190117,0.864682674407959,0.17867708206176758
500,2.0,8,2,1,1,1,3,0.15837158472254947,0.32307462743657556,0.46453246364145234,0.7536988258361816,0.17971229553222656
500,2.0,8,2,1,1,1,4,0.14920229084209916,0.30557219874496916,0.40748377917968026,0.7075045108795166,0.144073486328125
500,2.0,8,2,1,1,1,5,0.15618222663745382,0.28941583969170875,0.40441812606276456,0.7559208869934082,0.1583101749420166
500,2.0,8,2,1,1,1,6,0.1597429115649811,0.292985180853577,0.39539688295692443,0.9323439598083496,0.16179442405700684
500,2.0,8,2,1,1,1,7,0.1545954829164863,0.28022963751212054,0.39118461392021997,0.8281385898590088,0.14726877212524414
500,2.0,8,2,1,1,1,8,0.17441711854747538,0.28683064799409885,0.39507286823106097,0.8288094997406006,0.1592874526977539
500,2.0,8,2,1,1,1,9,0.153879658664293,0.3453157251568193,0.4237531193300259,0.7817306518554688,0.16142773628234863
500,2.0,8,2,1,1,1,10,0.13695538851949474,0.333731039306103,0.411176034973264,0.8744215965270996,0.19169235229492188
500,2.0,8,2,1,1,1,11,0.15686036365395056,0.3445703588664744,0.4653967873814655,0.842810869216919,0.13686490058898926
500,2.0,8,2,1,1,1,12,0.1601766058855582,0.30084893883646935,0.40737078560588297,0.7727205753326416,0.16425037384033203
500,2.0,8,2,1,1,1,13,0.16478667843567188,0.3445604152016369,0.47833120400423235,0.7911272048950195,0.13789153099060059
500,2.0,8,2,1,1,1,14,0.14340225823457814,0.270860713431965,0.3689408336299987,1.0810322761535645,0.19660711288452148
500,2.0,8,2,1,1,1,15,0.1580567243970547,0.28655083250166924,0.3861038040362238,0.7509963512420654,0.13489246368408203
500,2.0,8,2,1,1,1,16,0.16867042355106426,0.2728466769245492,0.4159071653807245,0.7410399913787842,0.14115619659423828
500,2.0,8,2,1,1,1,17,0.15079264628671465,0.3424459807442161,0.4230527840553838,0.7193605899810791,0.17635703086853027
500,2.0,8,2,1,1,1,18,0.16043312431555418,0.31686253925088714,0.42600034669770204,0.8767848014831543,0.17333412170410156
500,2.0,8,2,1,1,1,19,0.17872352339745853,0.31670699298983557,0.4591336027262656,0.7165181636810303,0.13014650344848633
500,2.0,8,2,1,1,1,20,0.1541500656283718,0.4100632046128958,0.5359507150030224,0.7647504806518555,0.13140130043029785
500,2.0,8,2,1,1,1,21,0.1523852835115746,0.29840361944100313,0.4041944296649273,0.7035975456237793,0.13772821426391602
500,2.0,8,2,1,1,1,22,0.1624685084219064,0.33797147284753715,0.39686079818670245,0.8621881008148193,0.18386077880859375
500,2.0,8,2,1,1,1,23,0.16755089702725787,0.34714043489409796,0.4494283517944117,0.8023879528045654,0.13752365112304688
