n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,0.0,0.0,1,1,1,0,1.4760774187302237e-14,1.92475661478125e-14,0.41318225860595703,0.0760500431060791
500,0.0,0.0,0.0,1,1,1,1,1.7618232860786315e-14,1.8780826186484578e-14,0.3495185375213623,0.07541251182556152
500,0.0,0.0,0.0,1,1,1,2,3.285295437640459e-14,1.7297853920093856e-14,0.32415246963500977,0.05549120903015137
500,0.0,0.0,0.0,1,1,1,3,1.4821009580763218e-14,1.4410677752952196e-14,0.3063671588897705,0.06107449531555176
500,0.0,0.0,0.0,1,1,1,4,8.542508329396265e-15,1.0777744118960794e-14,0.30067920684814453,0.0575101375579834
500,0.0,0.0,0.0,1,1,1,5,1.4788591599905397e-14,2.460647228166455e-14,0.31183481216430664,0.061002254486083984
500,0.0,0.0,0.0,1,1,1,6,1.8606590632120063e-14,1.765254609153999e-14,0.30756378173828125,0.06049227714538574
500,0.0,0.0,0.0,1,1,1,7,1.9720103305205028e-14,2.8014823201894353e-14,0.30512571334838867,0.0690009593963623
500,0.0,0.0,0.0,1,1,1,8,2.1283006174627933e-14,2.7537133998474003e-14,0.33264589309692383,0.054494619369506836
500,0.0,0.0,0.0,1,1,1,9,1.876607916928663e-14,2.147774074887269e-14,0.33628249168395996,0.06351113319396973
500,0.0,0.0,0.0,1,1,1,10,1.4778195528875245e-14,2.958864128978541e-14,0.30513787269592285,0.054039955139160156
500,0.0,0.0,0.0,1,1,1,11,1.0110651806889774e-14,1.2303455292759255e-14,0.33531641960144043,0.06901097297668457
500,0.0,0.0,0.0,1,1,1,12,1.3537525930107694e-14,1.7602637697707454e-14,0.3701198101043701,0.06900548934936523
500,0.0,0.0,0.0,1,1,1,13,2.303359638752261e-14,9.663806782193208e-15,0.3239777088165283,0.060491323471069336
500,0.0,0.0,0.0,1,1,1,14,1.4440616776283795e-14,2.2448478946612343e-14,0.31064748764038086,0.05513143539428711
500,0.0,0.0,0.0,1,1,1,15,1.16936647986622e-14,1.9946977506976898e-14,0.3318202495574951,0.06850504875183105
500,0.0,0.0,0.0,1,1,1,16,2.2108653188146156e-14,1.9616732916776046e-14,0.3133714199066162,0.05498313903808594
500,0.0,0.0,0.0,1,1,1,17,1.0157733453249713e-14,1.0934992313632584e-14,0.31071901321411133,0.06897926330566406
500,0.0,0.0,0.0,1,1,1,18,1.4421712690462395e-14,1.8950697272181456e-14,0.3138887882232666,0.05100059509277344
500,0.0,0.0,0.0,1,1,1,19,1.4627306952855488e-14,1.718229303029615e-14,0.32883620262145996,0.062493324279785156
500,0.0,0.0,0.0,1,1,1,20,1.8564258187131667e-14,1.0310031232292494e-14,0.2975945472717285,0.057003021240234375
500,0.0,0.0,0.0,1,1,1,21,1.843187864878314e-14,2.4228312386494965e-14,0.31006789207458496,0.05351066589355469
500,0.0,0.0,0.0,1,1,1,22,1.6966105007223625e-14,1.3158836145192024e-14,0.34311485290527344,0.0666048526763916
500,0.0,0.0,0.0,1,1,1,23,1.0324585060644686e-14,1.605321165282963e-14,0.3342714309692383,0.06300473213195801
500,0.0,0.0,0.0,1,1,1,24,1.565985834954309e-14,1.620317160369747e-14,0.3269937038421631,0.0634915828704834
500,0.2,0.2544,0.12,1,1,1,0,0.02021228664585356,0.018292281799059843,0.30476808547973633,0.0595402717590332
500,0.2,0.2544,0.12,1,1,1,1,0.029614326293840264,0.021646937847394004,0.2948000431060791,0.05949568748474121
500,0.2,0.2544,0.12,1,1,1,2,0.02581136770104156,0.021656131845440362,0.3357250690460205,0.0560002326965332
500,0.2,0.2544,0.12,1,1,1,3,0.030268269221920024,0.021934642817097928,0.3351314067840576,0.05400538444519043
500,0.2,0.2544,0.12,1,1,1,4,0.024186583407263193,0.024490805321181676,0.3178541660308838,0.0650029182434082
500,0.2,0.2544,0.12,1,1,1,5,0.020871805118715493,0.01912695454753073,0.3356337547302246,0.07786679267883301
500,0.2,0.2544,0.12,1,1,1,6,0.023919379684028658,0.018413082217064194,0.3299570083618164,0.055005788803100586
500,0.2,0.2544,0.12,1,1,1,7,0.019920663153089962,0.022910331345828323,0.35451602935791016,0.06251215934753418
500,0.2,0.2544,0.12,1,1,1,8,0.0215656954563723,0.018731121517935434,0.30057597160339355,0.06000041961669922
500,0.2,0.2544,0.12,1,1,1,9,0.022248346331794396,0.018837915528265123,0.3448183536529541,0.07851219177246094
500,0.2,0.2544,0.12,1,1,1,10,0.023241523836036008,0.017490650479439648,0.443652868270874,0.08751392364501953
500,0.2,0.2544,0.12,1,1,1,11,0.021516915988516502,0.019437082788473076,0.44120168685913086,0.09369182586669922
500,0.2,0.2544,0.12,1,1,1,12,0.02038090522756915,0.02094519043238725,0.5614206790924072,0.1325225830078125
500,0.2,0.2544,0.12,1,1,1,13,0.02333293433186947,0.0191882924395087,0.5965385437011719,0.12441515922546387
500,0.2,0.2544,0.12,1,1,1,14,0.02261774679892905,0.01900129271750722,0.5821981430053711,0.13253092765808105
500,0.2,0.2544,0.12,1,1,1,15,0.024645511650108105,0.02241253363576447,0.4613668918609619,0.08794689178466797
500,0.2,0.2544,0.12,1,1,1,16,0.027354697933783076,0.021146612578611793,0.4873032569885254,0.08951783180236816
500,0.2,0.2544,0.12,1,1,1,17,0.027403169732384266,0.030262437539951333,0.5236482620239258,0.11051440238952637
500,0.2,0.2544,0.12,1,1,1,18,0.02155374044216634,0.019691800961805637,0.5715508460998535,0.10950136184692383
500,0.2,0.2544,0.12,1,1,1,19,0.025453801280919938,0.01754841998665351,0.499159574508667,0.10450243949890137
500,0.2,0.2544,0.12,1,1,1,20,0.024985714880215955,0.018614114893688874,0.5105164051055908,0.10252261161804199
500,0.2,0.2544,0.12,1,1,1,21,0.021888602965205017,0.024060760478997658,0.4977083206176758,0.09651422500610352
500,0.2,0.2544,0.12,1,1,1,22,0.024012688178311557,0.022163095628935744,0.4896414279937744,0.09749937057495117
500,0.2,0.2544,0.12,1,1,1,23,0.02088121480889265,0.022401508673736463,0.6881489753723145,0.12493371963500977
500,0.2,0.2544,0.12,1,1,1,24,0.02036305060222021,0.01824232756750367,0.45108914375305176,0.0925142765045166
500,0.4,0.5376000000000001,0.24,1,1,1,0,0.04409411497851879,0.03670471521241303,0.4812734127044678,0.08905649185180664
500,0.4,0.5376000000000001,0.24,1,1,1,1,0.04333900900890875,0.036417161090144506,0.4845755100250244,0.10342860221862793
500,0.4,0.5376000000000001,0.24,1,1,1,2,0.05541115980586045,0.043978223607312024,0.49872279167175293,0.09751367568969727
500,0.4,0.5376000000000001,0.24,1,1,1,3,0.04816505160864727,0.037254358592141046,0.49560070037841797,0.11455416679382324
500,0.4,0.5376000000000001,0.24,1,1,1,4,0.042468748864257944,0.0392566496708859,0.5883362293243408,0.12411642074584961
