n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,0.96,0.4,1,1,1,0,0.026325789635941645,0.057521454078224364,0.33749842643737793,0.065643310546875
500,0.0,0.96,0.4,1,1,1,1,0.023643164218793918,0.05856822375963024,0.36444711685180664,0.06352734565734863
500,0.0,0.96,0.4,1,1,1,2,0.023715523820494022,0.0564597315372844,0.3109889030456543,0.060120344161987305
500,0.0,0.96,0.4,1,1,1,3,0.026417235472979417,0.04540483830366734,0.32091808319091797,0.06520867347717285
500,0.0,0.96,0.4,1,1,1,4,0.024757983887933314,0.049590878872311055,0.3088676929473877,0.06253314018249512
500,0.0,0.96,0.4,1,1,1,5,0.02484354241343877,0.056370033672761895,0.3329591751098633,0.06671857833862305
500,0.0,0.96,0.4,1,1,1,6,0.02335120254118889,0.04665299617523501,0.3888578414916992,0.08311724662780762
500,0.0,0.96,0.4,1,1,1,7,0.024483646123727935,0.04693541214425009,0.4299187660217285,0.06663036346435547
500,0.0,0.96,0.4,1,1,1,8,0.022611982425629413,0.057661637606710364,0.3106532096862793,0.05606698989868164
500,0.0,0.96,0.4,1,1,1,9,0.02490650986027348,0.04541973700497571,0.31905245780944824,0.06235647201538086
500,0.0,0.96,0.4,1,1,1,10,0.02637022683633465,0.0488380011946805,0.3278646469116211,0.07474946975708008
500,0.0,0.96,0.4,1,1,1,11,0.02395811610487564,0.043959930079249095,0.30700254440307617,0.05895853042602539
500,0.0,0.96,0.4,1,1,1,12,0.024677431348286982,0.05283942613719695,0.3164184093475342,0.06666779518127441
500,0.0,0.96,0.4,1,1,1,13,0.02500300587893024,0.05073227481666767,0.3334066867828369,0.06996536254882812
500,0.0,0.96,0.4,1,1,1,14,0.021723155190109714,0.04702174126557482,0.34591174125671387,0.062005043029785156
