n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,3,1,1,1,1,0,1.0734780599224306e-14,0.13518838674756878,0.13518838674757203,0.37334585189819336,0.09742164611816406
500,0.0,3,1,1,1,1,1,4.721121967156373e-15,0.13981612900798446,0.13981612900798734,0.42871642112731934,0.09353256225585938
500,0.0,3,1,1,1,1,2,4.233709124948446e-15,0.1104669815620026,0.11046698156200534,0.3711271286010742,0.0820157527923584
500,0.0,3,1,1,1,1,3,1.474168622284402e-14,0.1221143040783383,0.1221143040783472,0.33210325241088867,0.09152841567993164
500,0.0,3,1,1,1,1,4,4.552871901993238e-15,0.11858596288499523,0.11858596288499851,0.3335597515106201,0.08451271057128906
500,0.0,3,1,1,1,1,5,1.2134996674569118e-14,0.1424548027750872,0.1424548027750976,0.388491153717041,0.08454322814941406
500,0.0,3,1,1,1,1,6,8.737092491382039e-15,0.12215943048534625,0.12215943048534851,0.35112500190734863,0.08352351188659668
500,0.0,3,1,1,1,1,7,7.575597600392805e-15,0.11102010494854932,0.11102010494855409,0.4048781394958496,0.09453773498535156
500,0.0,3,1,1,1,1,8,1.553620669411106e-14,0.13441714363953847,0.13441714363954854,0.4499318599700928,0.09653782844543457
500,0.0,3,1,1,1,1,9,8.473852870023459e-15,0.13742809820008314,0.13742809820008725,0.3820817470550537,0.09246039390563965
500,0.0,3,1,1,1,1,10,1.3284834492751575e-14,0.13925518801681513,0.1392551880168212,0.3145744800567627,0.08051276206970215
500,0.0,3,1,1,1,1,11,4.233322439144729e-15,0.12781922368127618,0.12781922368127843,0.3108797073364258,0.08595037460327148
500,0.0,3,1,1,1,1,12,6.839877179970191e-15,0.11254605047752798,0.11254605047753308,0.31684112548828125,0.08264350891113281
500,0.0,3,1,1,1,1,13,1.0180367159602637e-14,0.12469453607570391,0.12469453607570981,0.3813352584838867,0.0792391300201416
500,0.0,3,1,1,1,1,14,8.648448188054648e-15,0.1080291543382014,0.1080291543382086,0.3248465061187744,0.08915376663208008
500,0.0,3,1,1,1,1,15,7.229682308391804e-15,0.1217172657045818,0.12171726570458755,0.410555362701416,0.10129880905151367
500,0.0,3,1,1,1,1,16,1.116912780147855e-14,0.1230331912503871,0.12303319125039658,0.37622690200805664,0.0828404426574707
500,0.0,3,1,1,1,1,17,1.1654731120438632e-14,0.12238928151424527,0.12238928151424946,0.35408711433410645,0.08738374710083008
500,0.0,3,1,1,1,1,18,6.020100583457695e-15,0.13778392520025684,0.13778392520026134,0.3739497661590576,0.08296990394592285
500,0.0,3,1,1,1,1,19,5.178033054527688e-15,0.14263013811303607,0.14263013811303824,0.372882604598999,0.08738589286804199
500,0.0,3,1,1,1,1,20,1.1177104844241923e-14,0.11176808513448262,0.11176808513448996,0.31891369819641113,0.08836746215820312
500,0.0,3,1,1,1,1,21,4.673271636698207e-15,0.12273515653196262,0.12273515653196639,0.35661959648132324,0.08504939079284668
500,0.0,3,1,1,1,1,22,8.818108432007727e-15,0.11985473197169567,0.11985473197170345,0.35780835151672363,0.08866143226623535
500,0.0,3,1,1,1,1,23,8.444596820324328e-15,0.13517860871126808,0.13517860871127318,0.4248678684234619,0.0983266830444336
500,0.0,3,1,1,1,1,24,7.565438347236163e-15,0.11767556830080295,0.11767556830080916,0.35896778106689453,0.08348941802978516
500,0.2,3,1,1,1,1,0,0.04027996353670096,0.12311017675731416,0.14643082750148642,0.3791947364807129,0.0849142074584961
500,0.2,3,1,1,1,1,1,0.03916928968612493,0.12512194143239877,0.149656285516162,0.41417527198791504,0.08271527290344238
500,0.2,3,1,1,1,1,2,0.031687268884754365,0.12413155776239997,0.1408816884544633,0.43001604080200195,0.08531737327575684
500,0.2,3,1,1,1,1,3,0.03911392941203455,0.1292363072630726,0.13767621563264223,0.40149545669555664,0.09009861946105957
500,0.2,3,1,1,1,1,4,0.042987723429102134,0.1302632815983993,0.14256502012256828,0.4371011257171631,0.08903169631958008
500,0.2,3,1,1,1,1,5,0.03232886821330849,0.1338684626545243,0.1496571498328367,0.5136580467224121,0.10060977935791016
500,0.2,3,1,1,1,1,6,0.03651231629141363,0.12292131328302494,0.14091995394032752,0.3914763927459717,0.08320474624633789
500,0.2,3,1,1,1,1,7,0.032641626318089076,0.1318560025630448,0.1485902825624934,0.4077169895172119,0.08758831024169922
500,0.2,3,1,1,1,1,8,0.03441733204851031,0.14280777124910116,0.15993015039371414,0.41347646713256836,0.08660674095153809
500,0.2,3,1,1,1,1,9,0.04023944767379403,0.12367842055561293,0.13173237933814833,0.6157214641571045,0.15573430061340332
500,0.2,3,1,1,1,1,10,0.03176847169890984,0.15388009701411026,0.16116826828583158,0.7632920742034912,0.1681962013244629
500,0.2,3,1,1,1,1,11,0.03528124367080682,0.12161729606496569,0.12913348152775583,0.9703335762023926,0.18018794059753418
500,0.2,3,1,1,1,1,12,0.03720014982944385,0.1350771518349709,0.15035670536718918,0.6316981315612793,0.15550780296325684
500,0.2,3,1,1,1,1,13,0.034266901567557864,0.12866802477204634,0.1342720312546913,0.6396694183349609,0.14155244827270508
500,0.2,3,1,1,1,1,14,0.03210639467910793,0.136350450305661,0.15490338047686206,0.6400814056396484,0.14005541801452637
500,0.2,3,1,1,1,1,15,0.04138283878820305,0.12243987200416352,0.1360899817350512,0.596733808517456,0.13792204856872559
500,0.2,3,1,1,1,1,16,0.03201099516723645,0.14867280856791226,0.16361812356070962,0.6171863079071045,0.155869722366333
500,0.2,3,1,1,1,1,17,0.03162651167633302,0.14140877710424887,0.1540492150368027,0.5125038623809814,0.11365675926208496
500,0.2,3,1,1,1,1,18,0.03590578974310565,0.12474711933689936,0.1383016408043156,0.5358254909515381,0.1156625747680664
500,0.2,3,1,1,1,1,19,0.035502168875713024,0.12736519744624744,0.14155766151480662,0.6201696395874023,0.1377735137939453
500,0.2,3,1,1,1,1,20,0.03136009274984748,0.11236390908260746,0.13384351737681677,0.512873649597168,0.12452483177185059
500,0.2,3,1,1,1,1,21,0.03645287912288616,0.13940448505089553,0.15734970257001465,0.6262788772583008,0.16845226287841797
500,0.2,3,1,1,1,1,22,0.03633956134091763,0.13296524553988348,0.14372330815513523,0.6810166835784912,0.12024188041687012
500,0.2,3,1,1,1,1,23,0.036158807857724275,0.13188381770561297,0.15393780121892736,0.5623717308044434,0.1147158145904541
500,0.2,3,1,1,1,1,24,0.0368773025852063,0.12619338633287985,0.14610556099145638,0.6078910827636719,0.12265968322753906
500,0.4,3,1,1,1,1,0,0.06724549068316263,0.12519855960961546,0.17556392015727892,0.5938980579376221,0.1166074275970459
500,0.4,3,1,1,1,1,1,0.06754516491351979,0.1346376002786403,0.1736234742180563,0.5978801250457764,0.14404845237731934
500,0.4,3,1,1,1,1,2,0.07934363146071753,0.12972521251058386,0.17541199721016387,0.6848866939544678,0.1660170555114746
500,0.4,3,1,1,1,1,3,0.07033399989058009,0.12813541818373916,0.15162720710837044,0.5957190990447998,0.1501634120941162
500,0.4,3,1,1,1,1,4,0.06943811797795098,0.12061876597296746,0.17296108731704257,0.631580114364624,0.13970327377319336
500,0.4,3,1,1,1,1,5,0.07738067257047238,0.14222564674407262,0.20212132913215858,0.5785262584686279,0.11469793319702148
500,0.4,3,1,1,1,1,6,0.07884232468196549,0.13482749008438535,0.15841640207598937,0.5784077644348145,0.11803674697875977
500,0.4,3,1,1,1,1,7,0.07939246683481409,0.12295491852631996,0.1562359460557437,0.6362001895904541,0.15209388732910156
500,0.4,3,1,1,1,1,8,0.06717246745873372,0.12316432267765573,0.1707414801496842,0.5121245384216309,0.12282586097717285
500,0.4,3,1,1,1,1,9,0.06469689700378198,0.14091692467148967,0.17255122848745844,0.5394630432128906,0.11893415451049805
500,0.4,3,1,1,1,1,10,0.0690818263835061,0.13237773582924015,0.18148296465804875,0.549734354019165,0.12788796424865723
500,0.4,3,1,1,1,1,11,0.06907064630145317,0.13847563022721432,0.17744094105730468,0.5741369724273682,0.12083029747009277
500,0.4,3,1,1,1,1,12,0.07749486199406345,0.14633238768213336,0.2030621826780878,0.6974813938140869,0.17665553092956543
