n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,0.0,8,2,1,1,1,0,1.0808420382133688e-14,0.24407762637291117,0.24407762637291663,0.5496227741241455,0.11807608604431152
500,0.0,8,2,1,1,1,1,1.341866547405542e-14,0.2371647704908244,0.23716477049083348,0.4973783493041992,0.12745165824890137
500,0.0,8,2,1,1,1,2,8.650349201926253e-15,0.3019429486884722,0.30194294868847793,0.49794626235961914,0.1196892261505127
500,0.0,8,2,1,1,1,3,8.796875622824604e-15,0.23663259977968026,0.236632599779687,0.4859609603881836,0.11950182914733887
500,0.0,8,2,1,1,1,4,5.5734308536149695e-15,0.3019765053161855,0.3019765053161891,0.6777057647705078,0.17206573486328125
500,0.0,8,2,1,1,1,5,5.443075771478576e-15,0.23500512939972826,0.2350051293997293,0.5627157688140869,0.13693714141845703
500,0.0,8,2,1,1,1,6,8.111519487513816e-15,0.24853021115521257,0.2485302111552198,0.5153865814208984,0.12551331520080566
500,0.0,8,2,1,1,1,7,6.306061282505365e-15,0.23687276724607645,0.2368727672460813,0.5396256446838379,0.12071681022644043
500,0.0,8,2,1,1,1,8,6.610100468492698e-15,0.25925216610135077,0.2592521661013544,0.4979672431945801,0.13126659393310547
500,0.0,8,2,1,1,1,9,8.91628156735597e-15,0.2523865520897158,0.25238655208972355,0.5705866813659668,0.18210887908935547
500,0.0,8,2,1,1,1,10,4.549465031692117e-15,0.28990143785483424,0.28990143785483663,0.6940617561340332,0.13552093505859375
500,0.0,8,2,1,1,1,11,1.0168735354711061e-14,0.22975937075715946,0.22975937075716768,0.4897477626800537,0.1289830207824707
500,0.0,8,2,1,1,1,12,7.069462799807738e-15,0.22954763146319235,0.22954763146319718,0.5126621723175049,0.15072870254516602
500,0.0,8,2,1,1,1,13,1.1303856435364536e-14,0.2536132858701362,0.25361328587014603,0.5176010131835938,0.1355576515197754
500,0.0,8,2,1,1,1,14,6.1827997779456266e-15,0.24369255583809205,0.24369255583809396,0.5770778656005859,0.14285659790039062
500,0.0,8,2,1,1,1,15,1.0116804988869731e-14,0.26172872752069226,0.26172872752069426,0.7322297096252441,0.18137907981872559
500,0.0,8,2,1,1,1,16,1.0401047836259783e-14,0.26783335473653225,0.2678333547365416,0.63836669921875,0.15663933753967285
500,0.0,8,2,1,1,1,17,8.427371632319516e-15,0.2575829026243251,0.2575829026243321,0.4751770496368408,0.12255334854125977
500,0.0,8,2,1,1,1,18,5.738695990993423e-15,0.2485841806411594,0.24858418064116322,0.4746558666229248,0.1431889533996582
500,0.0,8,2,1,1,1,19,1.3917836827128682e-14,0.25297014134434226,0.25297014134435203,0.5890007019042969,0.14965343475341797
500,0.0,8,2,1,1,1,20,1.0536092911678371e-14,0.23445076615921784,0.23445076615922694,0.6693034172058105,0.12213683128356934
500,0.0,8,2,1,1,1,21,8.136787358178358e-15,0.2409242734055545,0.2409242734055603,0.502131462097168,0.127516508102417
500,0.0,8,2,1,1,1,22,8.677849072884141e-15,0.24673627147147456,0.24673627147147817,0.4931626319885254,0.12358355522155762
500,0.0,8,2,1,1,1,23,1.0827093936555957e-14,0.27327096261902734,0.2732709626190371,0.4957277774810791,0.14305734634399414
500,0.0,8,2,1,1,1,24,5.7443313730298835e-15,0.24613451519431195,0.24613451519431676,0.5035078525543213,0.1433396339416504
500,0.5,8,2,1,1,1,0,0.09819727571870085,0.2612949551709311,0.3242300835559616,0.7390453815460205,0.17292547225952148
500,0.5,8,2,1,1,1,1,0.08353284914590443,0.26311440642867395,0.3050322050251683,0.5668835639953613,0.14211416244506836
500,0.5,8,2,1,1,1,2,0.08963883990159832,0.26713953467754803,0.3222007727058024,0.5642576217651367,0.14341950416564941
500,0.5,8,2,1,1,1,3,0.09333353151123655,0.34577548625848453,0.4067120706429997,0.6089792251586914,0.13438701629638672
500,0.5,8,2,1,1,1,4,0.10014146769103542,0.26642180731011283,0.3176332015110394,0.6144659519195557,0.13097238540649414
500,0.5,8,2,1,1,1,5,0.07941650946891898,0.30569042722449585,0.326896310312246,0.6914825439453125,0.18360257148742676
500,0.5,8,2,1,1,1,6,0.0848644962431636,0.29285458063164954,0.31876378334695377,0.6684253215789795,0.14830327033996582
500,0.5,8,2,1,1,1,7,0.09384234310088284,0.25878653518444683,0.3345866764261131,0.560478925704956,0.12250185012817383
500,0.5,8,2,1,1,1,8,0.0884838630583839,0.26295947420968785,0.3007024293822878,0.5545303821563721,0.1446831226348877
500,0.5,8,2,1,1,1,9,0.08466847847467132,0.2872343079081343,0.352963008158312,0.6198179721832275,0.14547061920166016
500,0.5,8,2,1,1,1,10,0.09742769173109236,0.28471176951656996,0.31701014572142194,0.9015533924102783,0.17208313941955566
500,0.5,8,2,1,1,1,11,0.10745992602960708,0.26080442115781816,0.29803354081950184,0.6168999671936035,0.12958335876464844
500,0.5,8,2,1,1,1,12,0.09366775456884179,0.2508384292633851,0.3008663087964379,0.577772855758667,0.11462807655334473
500,0.5,8,2,1,1,1,13,0.08174762074091416,0.2694845232654697,0.32673395218501017,0.5636935234069824,0.1449720859527588
500,0.5,8,2,1,1,1,14,0.08602191782812076,0.2656077954275576,0.3326950904796666,0.6084301471710205,0.1505424976348877
500,0.5,8,2,1,1,1,15,0.09168516873805746,0.25795391647990973,0.30331897386054496,0.7782926559448242,0.16685867309570312
500,0.5,8,2,1,1,1,16,0.0904887185708592,0.2507490338018285,0.32082324776250015,0.57387375831604,0.1455063819885254
500,0.5,8,2,1,1,1,17,0.08419432004293563,0.26968185706337283,0.3072790671723123,0.6002545356750488,0.1332411766052246
500,0.5,8,2,1,1,1,18,0.0962095991016547,0.26238128562556773,0.30327776890068797,0.6278738975524902,0.12376236915588379
500,0.5,8,2,1,1,1,19,0.08311390871300822,0.260012440682832,0.3069545645187763,0.6136600971221924,0.13828516006469727
500,0.5,8,2,1,1,1,20,0.08363034438471115,0.23775369181250214,0.2918348213534066,0.7662966251373291,0.16429948806762695
500,0.5,8,2,1,1,1,21,0.08957758556224095,0.27187898747760836,0.3369754799382388,0.5855927467346191,0.12262392044067383
500,0.5,8,2,1,1,1,22,0.08177838962229121,0.3234760397153092,0.3919243281298985,0.5809135437011719,0.12698769569396973
500,0.5,8,2,1,1,1,23,0.07892716703040942,0.258422151770221,0.2904392791732321,0.5673162937164307,0.1379716396331787
500,0.5,8,2,1,1,1,24,0.0927591728857637,0.25250060700506416,0.3048856644101952,0.5946619510650635,0.135634183883667
500,1.0,8,2,1,1,1,0,0.20772436144231624,0.3717711218157603,0.49444859944355674,0.7123873233795166,0.18207359313964844
500,1.0,8,2,1,1,1,1,0.19764600662001872,0.32425155527151556,0.45697866323795144,0.5316741466522217,0.1508495807647705
500,1.0,8,2,1,1,1,2,0.18468707899497158,0.3160858539671532,0.455083689832426,0.6082179546356201,0.13186073303222656
500,1.0,8,2,1,1,1,3,0.20977720962134477,0.4197248508993682,0.581626327244751,0.6506302356719971,0.13913822174072266
500,1.0,8,2,1,1,1,4,0.16465228660062176,0.3482107572465619,0.4624887424786268,0.8175375461578369,0.19583773612976074
500,1.0,8,2,1,1,1,5,0.17439092500340242,0.4014565171713827,0.5758474421747851,0.7847037315368652,0.17950892448425293
500,1.0,8,2,1,1,1,6,0.18836662410264213,0.5514167206068952,0.6836194846264727,0.6298542022705078,0.13277602195739746
500,1.0,8,2,1,1,1,7,0.1850838292927523,0.29815033348396497,0.4175742426439239,0.6145541667938232,0.12588858604431152
500,1.0,8,2,1,1,1,8,0.1851936819700928,0.3183298149122998,0.48615995806370005,0.5713138580322266,0.12157058715820312
500,1.0,8,2,1,1,1,9,0.16692059216972244,0.3423381906428926,0.4873211604236016,0.5702362060546875,0.13334870338439941
500,1.0,8,2,1,1,1,10,0.20830513179998947,0.35371919924542533,0.5620243310454148,0.8161182403564453,0.17526531219482422
500,1.0,8,2,1,1,1,11,0.21551177592932858,0.2945986664220044,0.4337952471402031,0.5809695720672607,0.13701462745666504
500,1.0,8,2,1,1,1,12,0.18658544850875886,0.30222184298912,0.429198794855711,0.5532035827636719,0.14648962020874023
500,1.0,8,2,1,1,1,13,0.17486762062489292,0.36290739456767823,0.5290376888568397,0.5798707008361816,0.1401681900024414
500,1.0,8,2,1,1,1,14,0.1759635366657677,0.33197269113835837,0.5045161801322545,0.6073298454284668,0.1268143653869629
500,1.0,8,2,1,1,1,15,0.1531106134507552,0.2945121200946694,0.41984325502402603,0.6787490844726562,0.17323517799377441
500,1.0,8,2,1,1,1,16,0.16155098046539557,0.29878348880786954,0.42421817991858046,0.6033675670623779,0.1425461769104004
500,1.0,8,2,1,1,1,17,0.1680761645051669,0.3427087216716332,0.45129783829976544,0.7051522731781006,0.14587926864624023
500,1.0,8,2,1,1,1,18,0.19005093739580708,0.27090479686548,0.44515693462071293,0.5714683532714844,0.1423625946044922
500,1.0,8,2,1,1,1,19,0.16904902086074286,0.34656064425843547,0.4508310021051025,0.6048216819763184,0.14423179626464844
500,1.0,8,2,1,1,1,20,0.18504379797479523,0.3339711671407122,0.49078875803383626,0.7587635517120361,0.169968843460083
500,1.0,8,2,1,1,1,21,0.1869910216521422,0.3519167976888347,0.48157130463041553,0.5954263210296631,0.14755463600158691
500,1.0,8,2,1,1,1,22,0.16455907844516915,0.3051559530266655,0.4487650128254681,0.7578408718109131,0.1659250259399414
500,1.0,8,2,1,1,1,23,0.18423405272203136,0.311971007814854,0.4312700117124988,0.6911253929138184,0.14939594268798828
500,1.0,8,2,1,1,1,24,0.16505324854118492,0.44003945476511896,0.5536611193988239,0.6157877445220947,0.1516561508178711
500,1.5,8,2,1,1,1,0,0.2711671601902666,0.4580030395419545,0.670592925563962,0.961137056350708,0.18699121475219727
500,1.5,8,2,1,1,1,1,0.2765202669425269,0.40836637323969777,0.5749151950747886,0.7781558036804199,0.15651774406433105
500,1.5,8,2,1,1,1,2,0.26822225223350527,0.6339960600716817,0.8274939214154153,0.7751257419586182,0.18028926849365234
500,1.5,8,2,1,1,1,3,0.2934697461820221,0.4942890326965101,0.7107108170321085,0.9532103538513184,0.18036675453186035
500,1.5,8,2,1,1,1,4,0.2503434087095843,0.42074411205367557,0.6221014047195288,0.7483665943145752,0.16804957389831543
500,1.5,8,2,1,1,1,5,0.297118567931646,0.4704940881100327,0.6653668458814033,0.6638951301574707,0.14914274215698242
500,1.5,8,2,1,1,1,6,0.2809725805759568,0.5475593568872776,0.823554685450572,0.7490031719207764,0.12400650978088379
500,1.5,8,2,1,1,1,7,0.2838716858273448,0.43858814390390466,0.6123800462781487,0.8839921951293945,0.20696735382080078
500,1.5,8,2,1,1,1,8,0.24829244535575326,0.49093520686097064,0.7151480999527356,0.7660055160522461,0.11061859130859375
500,1.5,8,2,1,1,1,9,0.2581466799242673,0.4810320938733486,0.6893519733869712,0.6757688522338867,0.1562049388885498
500,1.5,8,2,1,1,1,10,0.30578167251856186,0.8669090381445115,1.1544432841494972,0.7517237663269043,0.15823984146118164
500,1.5,8,2,1,1,1,11,0.2775570389061253,0.44107392883364077,0.6718229556754685,0.8773078918457031,0.20122241973876953
500,1.5,8,2,1,1,1,12,0.31639069436310074,0.6319287360599747,0.8374635154790234,0.892723560333252,0.2025432586669922
500,1.5,8,2,1,1,1,13,0.2649173724730819,0.40468807225527487,0.612275441849312,0.6684520244598389,0.11665081977844238
500,1.5,8,2,1,1,1,14,0.2644213397040847,0.5100226964020699,0.7246336146215595,0.7744114398956299,0.13294672966003418
500,1.5,8,2,1,1,1,15,0.26896792566739386,0.47523302466166256,0.6754608579272401,0.8652281761169434,0.15939712524414062
500,1.5,8,2,1,1,1,16,0.2961943652430024,0.4830730839413083,0.7146977554954458,0.7709765434265137,0.13270831108093262
500,1.5,8,2,1,1,1,17,0.28511344662873733,0.5018420426810486,0.6903059248845913,0.7433114051818848,0.15433335304260254
500,1.5,8,2,1,1,1,18,0.2804157774403846,0.5902955333638102,0.7844783137878724,0.6522133350372314,0.17492961883544922
500,1.5,8,2,1,1,1,19,0.2699489190863006,0.5051949999532614,0.6538343010177525,0.8820836544036865,0.20380711555480957
500,1.5,8,2,1,1,1,20,0.29979075263528504,0.584516294066563,0.8110902712701521,0.7143447399139404,0.15541791915893555
500,1.5,8,2,1,1,1,21,0.28744640334009575,0.4747242152963196,0.7194365167008576,0.6849586963653564,0.15280413627624512
500,1.5,8,2,1,1,1,22,0.28571567162483535,0.6255264688387085,0.851602859493173,0.7558298110961914,0.1339259147644043
500,1.5,8,2,1,1,1,23,0.27001087965366144,0.4708489141866756,0.6880884097531855,0.782031774520874,0.18697690963745117
500,1.5,8,2,1,1,1,24,0.29403339601786166,0.42998082849192,0.6645608610612272,0.7121102809906006,0.11898088455200195
500,2.0,8,2,1,1,1,0,0.36080665264470047,0.5610055323031137,0.826759175739266,0.7337033748626709,0.1309375762939453
500,2.0,8,2,1,1,1,1,0.3709264584295534,0.7020001469620141,0.9554503133892098,0.7725906372070312,0.12927699089050293
500,2.0,8,2,1,1,1,2,0.3547142567823533,0.5745528325713191,0.8865057455644852,0.8248767852783203,0.1645209789276123
500,2.0,8,2,1,1,1,3,0.35488725295150786,0.6831998569132897,0.9425750820985006,0.7964725494384766,0.14922809600830078
500,2.0,8,2,1,1,1,4,0.39321472366102167,0.735882259789516,1.0690577475592917,0.7382147312164307,0.12790703773498535
500,2.0,8,2,1,1,1,5,0.3547401937619874,0.6835094936576983,0.9766181909889442,0.6917550563812256,0.1334388256072998
