n,s1,1_p_s2,s2,beta,q,sqrt_q,rep_no,eigen_mat_rerr,eigen_mat_terr,eigen_mat_gerr,eigen_mat_ev_time,eigen_mat_cal_translation_time
500,2,0.0,0.0,1,1,1,0,0.09977734561413104,0.15135447397990698,0.21642825885830735,0.4567413330078125,0.1248772144317627
500,2,0.0,0.0,1,1,1,1,0.1146155879841819,0.16740865063348156,0.2421052295585724,0.6018638610839844,0.14073967933654785
500,2,0.0,0.0,1,1,1,2,0.10873481483299624,0.1548124527833153,0.21823756195502964,0.6376442909240723,0.13757109642028809
500,2,0.0,0.0,1,1,1,3,0.11537098278289423,0.13287914080387736,0.21140239230590527,0.6685185432434082,0.1456143856048584
500,2,0.0,0.0,1,1,1,4,0.1220453271434344,0.14062915716147867,0.21516381144101762,0.7515518665313721,0.12868499755859375
500,2,0.0,0.0,1,1,1,5,0.10832572187212408,0.1326912574268342,0.19825099652044167,0.6028668880462646,0.1491248607635498
500,2,0.0,0.0,1,1,1,6,0.09821744956672644,0.1302447683314369,0.20963283521145143,0.606168270111084,0.16027379035949707
500,2,0.0,0.0,1,1,1,7,0.11994948959421245,0.17584356994797593,0.26411878308578085,0.6375300884246826,0.1442415714263916
500,2,0.0,0.0,1,1,1,8,0.10880718772872486,0.12849419893598277,0.1991938850303,0.7249407768249512,0.17337512969970703
500,2,0.0,0.0,1,1,1,9,0.11616111061656201,0.15252064385942288,0.2216318389719656,0.6760296821594238,0.17693734169006348
500,2,0.0,0.0,1,1,1,10,0.0995283172911105,0.15734480104098464,0.2237252115394821,0.6244714260101318,0.17741656303405762
500,2,0.0,0.0,1,1,1,11,0.10082806789412367,0.13591871362351518,0.2335062647787886,0.6441662311553955,0.12430810928344727
500,2,0.0,0.0,1,1,1,12,0.12356713914776098,0.19504578804673786,0.2596383776062044,0.6399521827697754,0.13439583778381348
500,2,0.0,0.0,1,1,1,13,0.10632123547473288,0.13974187351650041,0.2460631089912333,0.7447526454925537,0.14308524131774902
500,2,0.0,0.0,1,1,1,14,0.11535566081007029,0.13480798022925342,0.20644361739768602,0.7975380420684814,0.151519775390625
500,2,0.0,0.0,1,1,1,15,0.09800749226939055,0.15332105175418217,0.21618304838931862,0.5947351455688477,0.1440258026123047
500,2,0.0,0.0,1,1,1,16,0.1062556859929767,0.12845989539982922,0.19285446898687764,0.5786714553833008,0.13673686981201172
500,2,0.0,0.0,1,1,1,17,0.1105916765676955,0.12200620031452765,0.20426074118028686,0.6412899494171143,0.1539318561553955
